word	tag
Universitas	ORGANIZATION
Gadjah	ORGANIZATION
Mada	ORGANIZATION
Arie	PERSON
Sudjito	PERSON
Partai	ORGANIZATION
Golkar	ORGANIZATION
Aburizal	PERSON
Bakrie	PERSON
Aburizal	PERSON
Golkar	ORGANIZATION
Arie	PERSON
Golkar	PERSON
Golkar	ORGANIZATION
Arie	PERSON
Kompas.com	ORGANIZATION
Selasa	TIME
2014	TIME
Arie	PERSON
Aburizal	PERSON
Golkar	ORGANIZATION
Presidium	ORGANIZATION
Penyelamat	ORGANIZATION
Partai	ORGANIZATION
Golkar	ORGANIZATION
MS	PERSON
Hidayat	PERSON
Airlangga	PERSON
Hartarto	PERSON
Hidayat	PERSON
Airlangga	PERSON
Munas	EVENT
IX	EVENT
Bali	LOCATION
Airlangga	PERSON
Arie	PERSON
Hidayat	PERSON
Airlangga	PERSON
Aburizal	PERSON
Munas	EVENT
IX	EVENT
Arie	PERSON
Aburizal	PERSON
Golkar	ORGANIZATION
Partai	ORGANIZATION
Persatuan	ORGANIZATION
Pembangunan	ORGANIZATION
Arie	PERSON
Arie	PERSON
DPR	ORGANIZATION
Fadli	PERSON
Zon	PERSON
Joko	PERSON
Widodo	PERSON
Fadli	PERSON
Partai	ORGANIZATION
Nasdem	ORGANIZATION
Anies	PERSON
Baswedan	PERSON
Fadil	PERSON
Zon	PERSON
Gedung	LOCATION
DPR	LOCATION
Senayan	LOCATION
Jakarta	LOCATION
Rabu	TIME
2015	TIME
Perancis	LOCATION
Serge	PERSON
Atlaoui	PERSON
Pengadilan	ORGANIZATION
Negeri	ORGANIZATION
Tangerang	LOCATION
Filipina	LOCATION
Mary	PERSON
Jane	PERSON
Fiesta	PERSON
Veloso	PERSON
Partai	ORGANIZATION
Gerindra	ORGANIZATION
Fadli	PERSON
Indonesia	LOCATION
Fadli	PERSON
Kantor	ORGANIZATION
Wilayah	ORGANIZATION
Kementerian	ORGANIZATION
Hukum	ORGANIZATION
dan	ORGANIZATION
Hak	ORGANIZATION
Asasi	ORGANIZATION
Manusia	ORGANIZATION
Pulau	LOCATION
Nusakambangan	LOCATION
Cilacap	LOCATION
Andrew	PERSON
Chan	PERSON
Australia	LOCATION
Myuran	PERSON
Sukumaran	PERSON
Australia	LOCATION
Raheem	PERSON
Agbaje	PERSON
Salami	PERSON
Nigeria	LOCATION
Zainal	PERSON
Abidin	PERSON
Indonesia	LOCATION
Serge	PERSON
Areski	PERSON
Atlaoui	PERSON
Perancis	LOCATION
Rodrigo	PERSON
Gularte	PERSON
Brasil	LOCATION
Silvester	PERSON
Obiekwe	PERSON
Nwaolise	PERSON
Mustofa	PERSON
Nigeria	LOCATION
Martin	PERSON
Anderson	PERSON
Belo	PERSON
Ghana	LOCATION
Okwudili	PERSON
Oyatanze	PERSON
Nigeria	LOCATION
Mary	PERSON
Jane	PERSON
Fiesta	PERSON
Veloso	PERSON
Filipina	LOCATION
Partai	ORGANIZATION
Golkar	ORGANIZATION
Irianto	PERSON
MS	PERSON
Syaifuddin	PERSON
Tatang	PERSON
Farhanul	PERSON
Hakim	PERSON
Irianto	PERSON
Tatang	PERSON
Pemilu	EVENT
Jawa	LOCATION
Barat	LOCATION
DPP	ORGANIZATION
Partai	ORGANIZATION
Golkar	ORGANIZATION
Nurul	PERSON
Arifin	PERSON
Jakarta	LOCATION
Senin	TIME
Penelitian	ORGANIZATION
dan	ORGANIZATION
Pengembangan	ORGANIZATION
Litbang	ORGANIZATION
Kompas	ORGANIZATION
Irianto	ORGANIZATION
Tatang	ORGANIZATION
Ahmad	PERSON
Heryawan	PERSON
Deddy	PERSON
Mizwar	PERSON
Heryawan	PERSON
Deddy	PERSON
Rieke	PERSON
Diah	PERSON
Pitaloka	PERSON
Teten	PERSON
Masduki	PERSON
Rieke	PERSON
Teten	PERSON
Dede	PERSON
Yusuf	PERSON
Macan	PERSON
Efendi	PERSON
Lex	PERSON
Laksamana	PERSON
Dikdik	PERSON
M	PERSON
Arief	PERSON
Mansur	PERSON
Cecep	PERSON
Nana	PERSON
Suryana	PERSON
Toyib	PERSON
Dikdik	PERSON
Toyib	PERSON
Nurul	PERSON
Jabar	LOCATION
Nurul	PERSON
Nurul	PERSON
Jabar	LOCATION
2014	TIME
Pileg	EVENT
Nurul	PERSON
Pilgub	EVENT
Pileg	EVENT
partai	ORGANIZATION
Nurul	PERSON
Menkokesra	PERSON
Agung	PERSON
Laksono	PERSON
Partai	ORGANIZATION
Golkar	ORGANIZATION
Golkar	ORGANIZATION
Agung	PERSON
Golkar	ORGANIZATION
Aburizal	PERSON
Bakrie	PERSON
Agung	PERSON
Tribunnews.com	ORGANIZATION
Kompleks	LOCATION
Istana	LOCATION
Negara	LOCATION
Jakarta	LOCATION
Selasa	TIME
Jumat [17/2/2023]	TIME
Senin (20/2/2023)	TIME
Lingkaran	ORGANIZATION
Survei	ORGANIZATION
Indonesia	LOCATION
LSI	ORGANIZATION
LSI	ORGANIZATION
Ardian	PERSON
Sofa	PERSON
LSI	ORGANIZATION
Kantor	LOCATION
Lingkaran	LOCATION
Survei	LOCATION
Indonesia	LOCATION
Jl	LOCATION
Pramuka	LOCATION
Jakarta	LOCATION
Timur	LOCATION
Selasa	TIME
Lucky	PERSON
Hakim	PERSON
Gibran 	PERSON
Rabuming	PERSON
Raka	PERSON
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
Guruh	PERSON
Soekarnoputra	PERSON
Suhardi	PERSON
Rumah	LOCATION
Sakit	LOCATION
Pusat	LOCATION
Pertamina	LOCATION
Jakarta	LOCATION
Pusat	LOCATION
Suhardi	PERSON
Guruh	PERSON
Suhardi	PERSON
RSPP	LOCATION
Jakarta	LOCATION
Selasa	TIME
Agustus	TIME
2014	TIME
Guruh	PERSON
Fakultas	ORGANIZATION
Kehutanan	ORGANIZATION
Universitas	ORGANIZATION
Gadjah	ORGANIZATION
Mada	ORGANIZATION
Suhardi	PERSON
Partai	ORGANIZATION
Gerindra	ORGANIZATION
Suhardi	PERSON
Dekan	ORGANIZATION
Fakultas	ORGANIZATION
Kehutanan	ORGANIZATION
UGM	ORGANIZATION
Andi	PERSON
Widjajanto	PERSON
Joko	PERSON
Widodo	PERSON
Partai	ORGANIZATION
NasDem	ORGANIZATION
H.	PERSON
M.	PERSON
Joko	PERSON
Widodo	PERSON
Andi	PERSON
Tempo	ORGANIZATION
Jakarta	LOCATION
Kamis	TIME
November	TIME
2014	TIME
Andi	PERSON
Prasetyo	PERSON
Basrief	PERSON
Arief	PERSON
Andi	PERSON
Jokowi	PERSON
Prasetyo	PERSON
Istana	LOCATION
Negara	LOCATION
Prasetyo	PERSON
Partai	ORGANIZATION
NasDem	ORGANIZATION
DPR	ORGANIZATION
2014	TIME
2019	TIME
Jawa	LOCATION
Tengah	LOCATION
II	LOCATION
Prasetyo	PERSON
Dewan	ORGANIZATION
Perwakilan	ORGANIZATION
Rakyat	ORGANIZATION
Prasetyo	PERSON
2005	TIME
2006	TIME
PDIP	ORGANIZATION
NasDem	ORGANIZATION
Surya	PERSON
Paloh	PERSON
Prasetyo	PERSON
Indonesia	ORGANIZATION
Corruption	ORGANIZATION
Watch	ORGANIZATION
Prasetyo	PERSON
Kepala	ORGANIZATION
Pusat	ORGANIZATION
Pelaporan	ORGANIZATION
dan	ORGANIZATION
Analisis	ORGANIZATION
Transaksi	ORGANIZATION
Keuangan	ORGANIZATION
Muhammad	PERSON
Yusuf	PERSON
Kejaksaan	ORGANIZATION
Widyo	PERSON
Pramono	PERSON
Andhi	PERSON
Nirwanto	PERSON
Partai	ORGANIZATION
Keadilan	ORGANIZATION
Sejahtera	ORGANIZATION
Anis	PERSON
Matta	PERSON
PKS	ORGANIZATION
Anis	PERSON
Samarinda	LOCATION
Kalimantan	LOCATION
Timur	LOCATION
Selasa	TIME
PKS	ORGANIZATION
PKS	ORGANIZATION
Golkar	ORGANIZATION
PAN	ORGANIZATION
Hanura	ORGANIZATION
Aburizal	PERSON
Bakrie	PERSON
Hatta	PERSON
Rajasa	PERSON
Wiranto	PERSON
Prabowo	PERSON
Subianto	PERSON
Hatta	PERSON
Rajasa	PERSON
Firman	PERSON
Wijaya	PERSON
Komisi	ORGANIZATION
Pemilihan	ORGANIZATION
Umum	ORGANIZATION
Pengadilan	ORGANIZATION
